Name;CJ1;CJ2;CJ3;CS1;CS2;CS3;GM1;GM2;GM3;GP1;GP2;GP3
Group;CJ;CJ;CJ;CS;CS;CS;GM;GM;GM;GP;GP;GP
329.2028801;0.005191014;0.004672444;0.004666993;0.006010277;0.005536148;0.005281938;0;2.24E-05;0;0.00047017;0.000753122;0.000144818
329.4286268;0.001135438;0.001606857;0.001284771;0.001894187;0.002102575;0.001415114;0;1.06E-06;0;0.000504564;0.000785431;0.000159907
329.9437958;0.001765844;0.001656633;0.001575621;0.003704201;0.003751224;0.001716217;0;0;0;0.000284653;0.00042166;8.94E-05
330.2014653;0.001080406;0.000963802;0.001107636;0.003184174;0.00276857;0.00121393;0;0;0;0.000174661;0.000239715;5.41E-05
330.4212489;0.001020298;0.001222034;0.001002542;0.001825945;0.002045296;0.001072023;0;0;0;8.08E-05;8.45E-05;2.41E-05
330.932528;0.00532884;0.005003945;0.00434964;0.005744172;0.005400066;0.003955018;0.000711302;0.000598166;0.000818544;0.001255359;0.001831515;0.001419721
331.2690035;0.01053113;0.009186475;0.00958855;0.01018278;0.009067656;0.009228295;0.001644101;0.001417095;0.00186589;0.002711586;0.00345652;0.002929577
331.9247896;0.000660689;0.001051969;0.000507253;0.003611432;0.003695303;0.000574431;0.000927854;0.000785049;0.001037026;0.001443575;0.001714544;0.001488427
332.2768675;0.001945653;0.00131832;0.002361995;0.004189719;0.00376198;0.002307614;0.000474317;0.000383086;0.000538807;0.000722184;0.000763429;0.000689899
332.6042669;0.002254319;0.002909342;0.002815507;0.003178501;0.002912057;0.002933854;5.26E-05;9.30E-06;7.55E-05;5.14E-05;7.33E-05;1.90E-05
332.9154773;0.007405596;0.007889255;0.006554682;0.008506491;0.008631506;0.006167481;0;0;0;0.000446286;0.000582906;0.00027347
333.1538616;0.006454286;0.005551775;0.011251698;0.007783093;0.00415575;0.011055797;0;0;0;0.000818082;0.000973222;0.000468403
333.6139026;0.001547885;0.001200571;0.001049375;0.001473401;0.001203792;0.001087006;0;0;0;0.000790117;0.00087169;0.000439408
333.9237098;0.000564052;0.00071372;0.000496956;0.003542453;0.003620914;0.000423456;0;0;0;0.000544456;0.000606275;0.000305986
334.1554673;0.001308966;0.000737145;0.001983036;0.002952658;0.002560432;0.001999109;0;0;0;0.000360685;0.000407727;0.000206177
334.4264023;0.000728316;0.001094748;0.000622228;0.001716017;0.001905433;0.000531748;0;0;0;0.000145848;0.000175615;8.95E-05
334.6152397;0.006045068;0.004382729;0.004214759;0.005908374;0.005534653;0.004887065;0;0;0;4.59E-05;1.38E-05;8.17E-06
334.9214949;0.006078531;0.00903362;0.009376458;0.010245462;0.010397886;0.011457041;0.001845264;0.001892325;0.002396787;0.002911449;0.002651329;0.003561068
335.211502;0.013464049;0.014070166;0.014526358;0.01115918;0.010775825;0.013159142;0.004931866;0.0051962;0.00661153;0.006060346;0.00576508;0.007762083
335.6179696;0.000674939;0.00081032;0.000594341;0.00127167;0.001216351;0.000938115;0.004116528;0.004327735;0.005201273;0.00457364;0.004244266;0.006059645
335.9446797;0.002907507;0.003392634;0.00252121;0.005441082;0.005541472;0.003019652;0.003205795;0.003325881;0.003685115;0.003224172;0.002847685;0.004504123
336.1321785;0.003943891;0.005053635;0.004367625;0.004898542;0.004711361;0.004191256;0.002683125;0.002750918;0.002814992;0.002449713;0.002046188;0.003611409
336.4372692;0.001090915;0.00113282;0.001147482;0.001762152;0.001880675;0.001005086;0.001832657;0.00181536;0.001399163;0.001189543;0.000742023;0.00215882
336.9384118;0.011025753;0.011194667;0.011398129;0.010370757;0.010217574;0.010782207;0.000767163;0.000712567;0.000322583;0.000362841;0.000145037;0.000780736
337.1697614;0.00303876;0.002679313;0.003338508;0.005105358;0.004400219;0.003725443;0.000398386;0.000382946;0.000157797;0.000151676;5.75E-05;0.000314917
337.9436498;0.001229417;0.001333762;0.001510155;0.003383759;0.003530033;0.001331191;0.003624237;0.003741939;0.003357736;0.00232515;0.002076651;0.003049198
338.3456617;0.009312787;0.006663655;0.010126133;0.008007629;0.007679269;0.010295906;0.006404936;0.006720101;0.005801559;0.003863269;0.003418766;0.005034372
338.8533338;0.018484572;0.017143931;0.021574264;0.01666827;0.016049474;0.020617797;0.009539197;0.010187844;0.008464253;0.005292584;0.004797471;0.007037652
339.9987288;0.002256101;0.002237783;0.002906928;0.004546532;0.004577847;0.002844074;0.001574542;0.001460532;0.00167596;0.001490367;0.001571075;0.001586509
341.0854579;0.041323459;0.025362066;0.03718543;0.02819353;0.0219374;0.037192526;0.007501172;0.007599597;0.007839687;0.010163985;0.010382939;0.008017424
341.273939;0.007131155;0.00522943;0.006585298;0.00638249;0.006639912;0.006966388;0.007043172;0.007215098;0.007387498;0.009059055;0.009094333;0.007199804
341.5914816;0.00127516;0.001035612;0.001131412;0.001593455;0.001160709;0.001044281;0.005580711;0.00591363;0.00582205;0.006727769;0.006591372;0.005519803
342.0230612;0.01915415;0.013344954;0.017610521;0.015631186;0.01234395;0.017001592;0.003593046;0.004144774;0.003694414;0.003559262;0.003189539;0.003236474
342.6176159;0.000896841;0.000650245;0.000710622;0.000675525;0.000659711;0.000581739;0.001276058;0.001840723;0.001333679;0.00098981;0.000697102;0.001101926
343.0214944;0.015892859;0.011984627;0.015320838;0.012696238;0.009891637;0.014219236;0.000547083;0.000809883;0.000540295;0.000316834;0.000215636;0.000351486
344.0192776;0.005609706;0.004561531;0.00507796;0.006221337;0.004953739;0.004768788;0;0;0;0;0;0
344.2513558;0.000849267;0.000863682;0.000892453;0.002844598;0.002729714;0.000895778;0;0;0;0;0;0
344.4281273;0.000991008;0.001087752;0.001230306;0.001851515;0.002114745;0.001260166;0;0;0;0;0;0
344.918867;0.003311584;0.004795457;0.003217906;0.005648674;0.005798203;0.003607832;0.000161618;0.000169143;0.000392915;0.000756104;0.000990092;0.001003781
345.2924227;0.006604984;0.006307727;0.004930069;0.007652344;0.006288744;0.00507061;0.000392726;0.000415885;0.000901255;0.001432934;0.00180561;0.001896326
345.9882762;0.002115148;0.001257051;0.000377877;0.003118767;0.003361764;0.000445591;0.000210653;0.000223008;0.000471264;0.000732561;0.000840985;0.000901542
346.2382761;0.000393307;0.000649302;0.000343096;0.003234303;0.002703587;0.000394479;0.000132614;0.000136963;0.000295275;0.000468961;0.000486642;0.000535195
346.4224046;0.000551586;0.000742277;0.000826894;0.001628071;0.001910473;0.000704594;7.51E-05;7.36E-05;0.000165657;0.000274815;0.000225664;0.000265375
346.9538605;0.007182598;0.006516215;0.005947343;0.007456126;0.007573011;0.006111982;0;0;0.000210284;0.000343496;0.00059264;0.000280238
347.2214803;0.003678816;0.004092998;0.005453421;0.005101271;0.00502259;0.005344116;0;0;0.000400321;0.000682933;0.001018712;0.000494295
347.638656;0.000425175;0.000243528;0.001695537;0.000352586;0.000417472;0.001564534;0;0;0.000431171;0.00066968;0.000916003;0.000443489
347.919943;0.000548441;0.001246555;0.000945455;0.003560946;0.003743373;0.00062691;0;0;0.000309265;0.000468252;0.000634648;0.000308657
348.1655626;0.001485622;0.000342907;0.000666137;0.001562869;0.002202106;0.000740733;0;0;0.000202816;0.000292366;0.00038897;0.000190922
348.6073514;0.000810421;0.000766178;0.000773517;0.000729796;0.000793866;0.000795219;0;6.60E-06;1.14E-05;7.14E-05;0.000148506;8.85E-05
349.1578046;0.00884541;0.008421677;0.008455341;0.008055805;0.007623181;0.008217962;0.000731087;0.00087011;0.001528223;0.001465569;0.002003405;0.001436657
349.9585933;0.001416197;0.001392624;0.001385203;0.003396988;0.003585111;0.001210038;0.000401342;0.000474707;0.000826439;0.000758878;0.00099742;0.00072087
350.4092811;0.00101746;0.00098171;0.000831985;0.001673141;0.00207219;0.000822236;0.000158465;0.000183542;0.000329066;0.000302154;0.000340671;0.000252688
350.601212;0.002472741;0.00186367;0.001562384;0.002575555;0.002603704;0.002039581;5.50E-05;5.95E-05;0.000117254;0.000107653;6.10E-05;5.33E-05
350.9920433;0.008573196;0.008475217;0.008596663;0.008273904;0.00781904;0.00815179;4.99E-06;0;0.00021597;0.000311618;0.000717352;0.000492832
