"","CJ2_1","CJ2_2","CJ2_3","CS2_1","CS2_2","CS2_3"
"Label","CJ","CJ","CJ","CS","CS","CS"
"241.1201955"," 0.1942868"," 1.9826626","-0.4344669","-0.6605391","-0.4791332","-0.6028102"
"243.1076607","-2.6243586","-0.5472159","-2.7032180"," 4.2579690"," 4.3351186","-2.7182951"
"243.2065533","-0.2107220"," 1.5613265","-0.2122582"," 0.2407895","-0.5381590","-0.8409767"
"245.0073823"," 1.2634500"," 3.2841396"," 1.3015803"," 0.5717979"," 0.6810977","-7.1020654"
"245.0938407","-4.307591","-2.230448","-4.386450"," 3.257224"," 3.320576"," 4.346689"
"247.1199868"," 0.4339385"," 1.7113416","-0.6088750","-0.4313752","-0.5454789","-0.5595509"
"248.980111"," 0.07600973"," 1.31493393","-0.12699301","-0.71290604","-0.59450685"," 0.04346223"
"249.172003"," 3.947886","-2.054882","-4.210884"," 3.374456"," 3.169383","-4.225961"
"250.9700357","-0.74339049"," 1.91196423"," 0.05474066","-0.32282270","-0.19801370","-0.70247800"
"251.1834335","-2.5449236","-0.4677809","-2.6237830"," 4.1981528"," 4.0771948","-2.6388601"
"252.0488974","-2.4834145","-0.4062718","-2.5622739"," 4.0421265"," 3.9871846","-2.5773510"
"252.9990579","-2.5349599","-0.4578172","-2.6138193"," 4.1207374"," 4.1147555","-2.6288964"
"253.1560115","-0.2148563"," 1.6620283","-0.1904094","-0.5536175","-0.5733625","-0.1297826"
"254.9408356","-0.08042167"," 1.90333520","-0.50795386","-0.58942191","-0.33292689","-0.39261087"
"255.1313691","-2.4736101","-0.3964674","-2.5524695"," 3.9760545"," 4.0140390","-2.5675465"
"256.240021"," 1.441418","-4.013767"," 0.753509"," 0.362207"," 0.443529"," 1.013105"
"257.1485952"," 0.08748155"," 1.74872131","-0.21484760","-0.75582393","-0.66525071","-0.20028062"
"258.9665628","-3.939201","-1.862058"," 3.147794"," 3.229932"," 3.456670","-4.033137"
"259.091503","-0.13209974"," 1.53175376","-0.02283867","-0.59874240","-0.66028433","-0.11778863"
"260.1105053","-3.0371702","-0.9600275"," 5.7596437","-3.7578041","-3.6204838"," 5.6158419"
"261.089095"," 0.06793955"," 1.78138828","-0.17842367","-0.79402026","-0.72283321","-0.15405068"
"262.9957852"," 0.9365298","-4.1035529"," 0.8314763"," 0.6892934"," 0.7739155"," 0.8723380"
"264.9952626","-0.2628052"," 1.7327298","-0.3809028","-0.2842011","-0.1564506","-0.6483702"
"267.0077869"," 0.7120883","-4.4778372"," 1.1735497"," 0.8370319"," 0.5030333"," 1.2521340"
"268.9632804","-0.06171453"," 1.45388782","-0.62920967","-0.14176833","-0.10314519","-0.51805011"
"270.9638404","-3.793347","-1.716205","-3.872207"," 3.193452"," 3.080532"," 3.107775"
"271.164224"," 0.1031340"," 1.9925155","-0.7430883","-0.7169800","-0.5290282","-0.1065529"
"272.1624262","-2.5224411","-0.4452984","-2.6013006"," 4.0185303"," 4.1668874","-2.6163776"
"272.9546444","-5.184007","-3.106864"," 1.707078"," 2.254680"," 2.258778"," 2.070336"
"273.1675","-0.4168335"," 1.6894158"," 0.2941530","-0.7587589","-0.5309534","-0.2770229"
"274.9487981","-2.545423","-0.468280","-2.624282"," 4.150099"," 4.127245","-2.639359"
"275.1542907"," 0.8992774","-4.2288423"," 0.7648013"," 0.8559482"," 0.8608219"," 0.8479936"
"276.1484915"," 0.9552645","-4.1465517"," 1.1946385"," 0.6400216"," 0.5061110"," 0.8505162"
"276.9417683"," 0.5546195"," 1.8965698","-0.7362923","-0.5583469","-0.4817849","-0.6747652"
"277.1319314"," 0.7895969","-4.5162084"," 1.3402335"," 0.6593939"," 0.6065387"," 1.1204455"
"278.9775922"," 4.3805363","-0.3852981","-2.5413002","-3.1830746"," 4.2855138","-2.5563772"
"279.1449235","-4.940974","-2.863831"," 1.854921"," 2.006795"," 1.908404"," 2.034685"
"281.05712","-0.27331579"," 2.06338656","-0.92214673"," 0.01326403","-0.28021640","-0.60097167"
"282.0635082","-0.01109401"," 1.58520309"," 0.03714361","-0.40652571","-0.67570311","-0.52902389"
"282.9791297","-0.4085560"," 1.7739371","-0.2212250","-0.5808306","-0.2753035","-0.2880220"
"284.9604575","-2.5295909","-0.4524482","-2.6084503"," 4.0163407"," 4.1976760","-2.6235273"
"286.9623971","-0.30423397"," 1.71632995","-0.63801993","-0.05998223","-0.13901490","-0.57507892"
"287.1454343","-5.012535","-2.935392"," 2.303094"," 1.744248"," 1.754475"," 2.146110"
"289.0484228","-0.3260973"," 1.5800551","-0.5966084","-0.2098596","-0.2474891","-0.2000007"
"290.9445913"," 1.8701315","-4.5577676"," 0.6153171"," 0.8406921"," 0.8869006"," 0.3447263"
"291.1159005","-2.5655783","-0.4884356","-2.6444378"," 4.1848829"," 4.1730836","-2.6595148"
"292.95049"," 2.156907","-2.917388","-5.073391"," 1.941807"," 2.099862"," 1.792203"
"295.0231811","-3.238730","-1.161588"," 6.125323","-3.959364","-3.822044"," 6.056403"
"296.9936036","-6.2985340"," 3.0789107"," 0.5281800"," 0.7618100"," 1.1173970"," 0.8122364"
"300.9530151","-2.5744515","-0.4973087","-2.6533109"," 4.0249324"," 4.3685266","-2.6683879"
"301.146926","-0.4992368"," 2.1573861"," 0.2369398","-0.8042890","-0.5446347","-0.5461655"
"302.1510826"," 0.8346773"," 2.9438587"," 1.3417660"," 0.5438188"," 0.7785027","-6.4426235"
"303.0932361"," 2.377795","-2.935840"," 1.916714"," 1.903595"," 1.844655","-5.106919"
"304.1050293"," 0.8822794","-4.0734837"," 0.8969533"," 0.7404582"," 0.7991729"," 0.7546198"
"304.9720775"," 3.095039","-1.650426","-3.806428"," 3.031356"," 3.151964","-3.821505"
"306.9375403","-5.016197"," 4.196004"," 1.817932"," 1.988952"," 2.123443","-5.110134"
"308.9404247","-2.6266393","-0.5494966","-2.7054987"," 4.2362548"," 4.3659556","-2.7205758"
"309.1850429"," 0.16151525"," 1.57803584","-0.50845871","-0.64248299","-0.54478261","-0.04382678"
"310.9416002","-0.2273208"," 2.1133460","-0.9561330","-0.4664791","-0.1868889","-0.2765241"
"314.9376348","-2.6171373","-0.5399946","-2.6959967"," 4.1187696"," 4.4454326","-2.7110737"
"318.9333966"," 1.963578","-2.808882","-4.964884"," 1.839160"," 2.027905"," 1.943123"
"320.9377511","-2.5323344","-0.4551917","-2.6111938"," 4.0772537"," 4.1477370","-2.6262708"
"322.926959","-2.5423372","-0.4651945","-2.6211966"," 4.0146055"," 4.2503965","-2.6362737"
"324.9516006","-0.1616995"," 1.9059657","-0.6396287","-0.5460599","-0.3122273","-0.2463503"
"326.9796231","-0.11448130"," 1.44646739","-0.07737074","-0.57715777","-0.64017107","-0.03728650"
"328.9532414"," 0.9831068","-4.1346538"," 0.8513798"," 0.7131547"," 0.8711002"," 0.7159122"
"331.2134083"," 1.894027","-2.838284"," 2.055528"," 1.902865"," 1.995227","-5.009363"
"333.0791036","-3.868445","-1.791302"," 3.620591","-4.589079"," 2.880073"," 3.748161"
"334.9185988","-5.000135","-2.922993"," 1.909590"," 1.779482"," 2.140523"," 2.093534"
"335.1288788"," 0.01362958"," 1.85281379","-0.48722112","-0.37453677","-0.27201497","-0.73267051"
"336.9359079"," 2.284745","-2.968593","-5.124595"," 1.898722"," 2.226511"," 1.683210"
"338.9521364","-0.6835170"," 1.7802898"," 0.1307997","-0.6592628","-0.3700498","-0.1982599"
"341.0145727"," 0.4098673"," 1.8075640","-0.7505678","-0.2479380","-0.5616787","-0.6572469"
"342.024158","-0.2629837244"," 1.6267957348"," 0.0002137789","-0.2948098154","-0.5775229609","-0.4916930130"
"342.9827089"," 0.1058334"," 1.7722479","-0.1032144","-0.5421879","-0.7904625","-0.4422165"
"350.9526866"," 3.220938","-1.695965","-3.851967"," 2.955837"," 3.238201","-3.867044"
"352.9517043","-3.794519","-1.717376","-3.873378"," 3.035912"," 3.309458"," 3.039903"
"355.0764234"," 0.2701887"," 1.4455707","-0.8199082"," 0.3034646","-0.2896701","-0.9096458"
"356.0768737","-0.14972910"," 1.45373698","-0.25978843","-0.06114425","-0.64876886","-0.33430634"
